1,1,The rule governing flight over water for a single engined aeroplane engaged in the public transport of passengers:
2,1,The minimum equipment list (MEL) gives the equipment which can be inoperative when undertaking a flight and the additional procedures to be observed accordingly. This list is prepared by:
3,1,"Where an operator establishes an aerodrome operating minima, the minima:"
4,1,"The coverage angle of the regulatory red position light, continuously lit in flight and located at the tip of the left wing is:"
5,1,An operator must ensure that the lowest MDH for a non-precision approach procedure which is based upon the use of a VOR is not lower than:
6,1,"When refueling is being performed while passengers are boarding or disembarking the aircraft, it is necessary that: (Annex 6, Part I)"
7,1,"During a night flight, an observer located in the cockpit, seeing an aircraft coming from the front right, will first see the:"
8,1,"For a category D aeroplane, the indicated airspeed at threshold (VAT) is:"
9,1,"Before any flight is commenced, forms have to be complet -ed certifying that the aeroplane is airworthy. Who has to be satisfied that the aeroplane is airworthy?"
10,1,"One shall not initiate any flight made in accordance with instrument flight rules unless the available information in -dicates that the conditions at the aerodrome of predicted destination or, at an aerodrome of alternative destination, are: (Annex 6, Part I)"
11,1,A category D aircraft can carry out an indirect approach fol -lowed by a visual maneuver only if the horizontal visibility is higher than or equal to:
12,1,"During a conventional approach, the Minimum Descent Height (MDH) is referred to the runway threshold altitude and not to the aerodrome altitude if the runway threshold is at more than:"
13,1,"Who checks, before flight, that the aircrafts weight is such that flight can be safely made, and that any transported car -go is properly distributed and secured? (Annex 6, Part I)"
14,1,"For turbo-jet aircraft, in the flight preparation stage, the landing distance at the scheduled destination aerodrome shall be less than the available landing distance multiplied by a factor of:"
15,1,"Selecting an alternate aerodrome the runway of this facility must be sufficiently long to allow a full stop landing from 50 ft above the threshold (jet type aircraft, dry runway) within:"
16,1,The standby power supply powering the standby artificial horizon must be operable on board any aircraft of more than 5.700 kg or more than 9 passengers during at least:
17,1,"The coverage angle of the regulatory white position lights, continuously lit in flight and located at the rear of the air -craft, is:"
18,1,"The operator will include in the operations manual a list of minimum required equipment approved by:  (Annex 6, Part I)"
19,1,"The regulatory green navigation light is located on the star -board wing tip, with a coverage angle of:"
20,1,"For turbo-propeller aircraft, in the flight preparation stage, the landing distance on at alternate aerodrome shall be less than the available landing distance multiplied by a fac -tor of:"
21,1,"On board a pressurized aircraft, a flight shall be undertaken only if the aircraft is provided with an oxygen reserve en -abling all the crew members and part of the passengers to be supplied with oxygen in the event of a cabin depres -surization, throughout the flight period, during which the pressure altitude is greater than:"
22,1,The determination of the aerodrome minimum operating conditions must take the following into account:  1) equipment available for navigation 2) dimensions and characteristics of the runways 3) composition of the flight crew 4) obstacles in the vicinity of approach and missed ap -proach areas 5) facilities for determining and communicating the weath -er conditions  The combination regrouping all the correct statements is:
23,1,Flight crew members on the flight deck shall keep their safety belt fastened:
24,1,The MMEL (Master Minimum Equipment List) is drawn up by:
25,1,Who shall provide the flight operations personal with a op -erations manual and also issue the amendments to keep it up to date?
26,1,"For twin-engined aircraft, the takeoff alternate shall be lo -cated at a distance that: (Annex 6, Part I)"
27,1,A category III C precision approach (CAT III C) is an ap -proach with:
28,1,When must a radiation indicator be carried?
29,1,Who accepts the MEL?
30,1,"On board a non-pressurized aircraft, 10% of the passen -gers must be supplied with oxygen throughout the period of flight, reduced by 30 minutes, during which the pressure altitude is between:"
31,1,"Which of the following are the duties of a Flight Dispatch Officer? 1) Assist the pilot-in-command in flight preparation and provide the relevant information required. 2) Assist the pilot-in-command in preparing the operational and ATS flight plans, sign when applicable and file the ATS flight plan with the appropriate ATS unit. 3) Furnish the pilot-in-command while in flight, by appro -priate means, with information, which may be necessary for the safe conduct of the flight. 4) In the event of an emergency, initiate such procedures as may be outlined in the operations manual."
32,1,A life jacket is mandatory for any passenger on board an aircraft flying away from the shore by more than:
33,1,An aeroplane flying at 39.000 ft would be required to pro -vide oxygen dispensing units in the passenger cabin for:
34,1,Who compiles the MEL and where does it go?
35,1,Who makes up the MMEL?
36,1,A transport category aircraft suffers an unserviceability on the ground prior to takeoff. What document do you refer to?
37,1,FDRs must keep data and parameters for at least the last:
38,1,When is MDH referenced to the threshold as opposed to the aerodrome elevation?
39,1,When you have been unlawfully interfered with the com -mander is required to inform certain people:  1) State of the Operator 2) ICAO 3) State of registration of aircraft 4) JAA
40,1,To operate an aircraft as commander a pilot must have:
41,1,"Aircraft using a VFR flight plan in controlled airspace shall be equipped: (Annex 6, Part I)"
42,1,"On board a non-pressurized aircraft, the crew and all the passengers must be fed with oxygen throughout the flight period during which the pressure altitude is greater than:"
43,1,"For the flight crew members, quickly-fitted oxygen masks are compulsory on board any pressurized aircraft flying at a pressure altitude greater than:"
44,1,Who has the responsibility to take adequate measures for the safety of passengers and crew of an aircraft which is subjected to an act of unlawful interference until their jour -ney can be continued?
45,1,What is the angle of the red navigation light?
46,1,Is it necessary to carry the entire Operations Manual on each flight?
47,1,To act as co-pilot for takeoff or landing you must have:
48,1,A copy of which of the following documents must be kept on the ground by an operator for the duration of each flight?
49,1,A Flight Data Recorder is required in aeroplanes over:
50,1,Oxygen should be supplied for all crewmembers and some passengers above which altitude:
51,1,What is the minimum RVR for a CAT IIIC approach?
52,1,When is the oxygen required to be supplied for the crew and 100% of the passengers in an unpressurised aircraft?
53,1,What manuals are to be carried on board the aircraft?
54,1,From the flight deck you observe an aeroplane in the for -ward left position on an opposite parallel track. What Nav light will be observed:
55,1,A helicopter with a maximum takeoff mass exceeding 5.700 kg conducting helicopter emergency medical service shall be operated in accordance with:
56,1,"During a night flight, an observer located in the cockpit, seeing an aircraft coming from front right on approximate opposite parallel track, will first see the:"
57,1,"One shall not initiate any flight made in accordance with instrument flight rules unless the available information in -dicates that the conditions at the aerodrome of predicted destination or, at an aerodrome of alternate destination, are, at the predicted time of:"
58,1,What skills constitute pilot proficiency checks?
59,1,How often should pilot proficiency checks be performed?
60,1,Coverage of permanently illuminated white light’s at the rear of the aircraft is:
61,1,"Regarding an observer in the cockpit seeing an aeroplane coming from the forward left (on a converging track), what colour is the first light seen (at night)?"
62,1,Through what angle can the green navigation light be seen?
63,1,The abbreviation AOC stands for:
64,1,Which of the following statements is true?
65,1,"If the commander of an aeroplane violates any local rule, regulation or procedure he is to report the matter:"
66,1,When changing the transponder code for radar identifica -tion the selections to be made are:
67,1,At takeoff the maximum mass of the aeroplane shall be:
68,1,Aeroplanes that fly at night are required to be lit. The star -board navigation light is required to be:
69,1,The responsibility to provide flight operations personnel with the relevant parts of the operations manual and to en -sure the issue of the amendments rests with:
70,1,"Who shall be satisfied, before flight, that the aircraft’s weight is such that flight can be safely made, and that any transported cargo is properly distributed and secured?"
71,1,"When refueling is being performed while passengers are boarding or disembarking the aircraft, one of the require -ments is:"
72,1,The operator shall include in the operations manual a mini -mum equipment list which shall be approved by the author -ity of:
73,1,What is a low visibility takeoff?
74,1,What is the lowest possible MDH for a VOR/DME non-pre -cision approach?
75,1,A precision approach runway CAT II is an instrument run -way served by ILS and visual aids intended for operations down to:
76,1,"An operator shall not operate an aeroplane certified to JAR-25, across an area in which search and rescue would be especially difficult, without survival equipment if it flies away from an area suitable for making an emergency land -ing at a distance greater than:"
77,1,A category D aeroplane can carry out a circling approach only if the meteorological visibility is higher than or equal to:
78,1,An aeroplane whose maximum approved passenger seat -ing configuration is 7 to 30 seats must be equipped with at least:
79,1,The recent experience conditions of a commander as -signed to a flight on an aircraft by an operator must not be less than:
80,1,What is the lowest possible MDH for a VOR non-precision approach?
81,1,What is the lowest possible MDH for an NDB non-precision approach?
82,1,What is the lowest possible MDH for an ILS (without glideslope) non-precision approach?
83,1,What is the lowest possible MDH for an ILS back-beam (lo -calizer back-course) non-precision approach?
84,1,What is the lowest possible MDH for a SRA non-precision approach terminating at 1 NM?
85,1,"For aircraft certified before the 1 april 1998, cockpit voice recorder must keep the conversations and sound alarms recorded during the last:"
86,1,Information concerning evacuation procedures can be found in the:
